,real_0,real_1,real_2,real_3,best_real_0,best_real_1,best_real_2,best_real_3,wait0,travel0,stop0,timeloss0,speed0,throughput0,to_be_throughput0,wait1,travel1,stop1,timeloss1,speed1,throughput1,to_be_throughput1,wait2,travel2,stop2,timeloss2,speed2,throughput2,to_be_throughput2,wait3,travel3,stop3,timeloss3,speed3,throughput3,to_be_throughput3,wait4,travel4,stop4,timeloss4,speed4,throughput4,to_be_throughput4,time,iteration_time,performance measure,veh_generated,scenario,phaseSeq,algorithm,iteration_type,step
0,18.0,33.0,18.0,33.0,16.0,30.0,15.0,30.0,121.14389067524115,183.32154340836013,1.2596463022508038,79.02337620578781,6.754220636472706,1244,1244,117.0314262691378,178.03545527800162,1.169218372280419,73.44342465753422,6.856308844884493,1241,1241,119.36829652996846,180.93848580441642,1.2011041009463723,76.11369873817033,6.860366004052503,1268,1268,105.9151103565365,166.062818336163,1.1825127334465195,68.5100169779288,7.009817049473362,1178,1178,109.72200469851214,170.01879404855129,1.111198120595145,66.98387627251373,6.911139836350382,1277,1277,3.687436103820801,18.49989676475525,106.8917146326316,1422.6,2,0,Adam,iteration,1
0,19.0,34.0,19.0,34.0,16.0,30.0,15.0,30.0,112.89228295819936,173.82717041800643,1.167202572347267,74.76249196141477,6.815071321825087,1244,1244,113.29569455727051,174.21121039805035,1.2136474411047928,75.28336311941521,6.731403144201757,1231,1231,112.92642405063292,173.8884493670886,1.168512658227848,72.88741297468353,6.849709569134243,1264,1264,101.74402730375427,161.81911262798636,1.1373720136518772,68.35972696245734,7.030009662921941,1172,1172,102.67503924646782,162.09419152276294,1.0062794348508635,62.61871271585547,7.160421483688058,1274,1274,3.781320810317993,37.109278440475464,99.99479650323677,1422.6,2,0,Adam,iteration,2
0,53.0,96.0,12.0,27.0,16.0,30.0,15.0,30.0,172.21083333333334,236.4075,1.2991666666666666,150.55456666666686,5.416100090186511,1200,1200,169.69341216216216,232.83277027027026,1.2119932432432432,144.16398648648644,5.448162102488018,1184,1184,181.06943335993614,244.88108539505188,1.3216280925778132,153.66216280925772,5.482324595327334,1253,1253,162.1060735671514,226.38836612489308,1.298545765611634,148.1932078699742,5.413466704181612,1169,1169,176.6238608119304,239.92543496271747,1.2493786246893124,146.97137531068773,5.550671364931772,1207,1207,4.234689474105835,56.000160932540894,181.46558163635603,1422.6,2,0,Adam,iteration,3
0,20.0,120.0,21.0,27.0,16.0,30.0,15.0,30.0,142.9375,206.76315789473685,1.430921052631579,151.44606907894732,5.893169759193491,1216,1216,130.14878048780488,192.50569105691056,1.2609756097560976,139.64575609756113,5.854446521889256,1230,1230,132.49689440993788,195.31521739130434,1.2888198757763976,139.179961180124,5.899457098897996,1288,1288,131.42161716171617,193.61468646864685,1.1947194719471947,138.0613118811883,6.039538209768828,1212,1212,129.63629032258063,192.4733870967742,1.2766129032258065,137.91580645161318,6.072995034804159,1240,1240,3.828002691268921,73.09349274635315,136.6152147325671,1422.6,2,0,Adam,iteration,4
0,16.0,30.0,15.0,30.0,,,,,111.2207062600321,173.37239165329052,1.3226324237560192,74.86750401284114,6.894924631069668,1246,1246,108.5044319097502,169.72360999194197,1.225624496373892,71.04474617244168,7.00578133878199,1241,1241,108.59212598425196,169.9779527559055,1.2433070866141733,70.30166929133856,6.992876470774002,1270,1270,97.4592094196804,158.09503784693018,1.2354920100925146,67.6800588730025,7.0690192453290175,1189,1189,99.008681925809,158.6393054459353,1.0828729281767955,59.750883977900514,7.3150793075107625,1267,1267,3.5624840259552,91.0309386253357,95.40629755186981,1422.6,2,0,Adam,best,
0,16.0,30.0,15.0,30.0,16.0,30.0,15.0,30.0,111.2207062600321,173.37239165329052,1.3226324237560192,74.86750401284114,6.894924631069668,1246,1246,108.5044319097502,169.72360999194197,1.225624496373892,71.04474617244168,7.00578133878199,1241,1241,108.59212598425196,169.9779527559055,1.2433070866141733,70.30166929133856,6.992876470774002,1270,1270,97.4592094196804,158.09503784693018,1.2354920100925146,67.6800588730025,7.0690192453290175,1189,1189,99.008681925809,158.6393054459353,1.0828729281767955,59.750883977900514,7.3150793075107625,1267,1267,3.5624840259552,0.0,95.40629755186981,1422.6,2,0,Tabu,iteration,0
0,18.0,30.0,15.0,30.0,18.0,30.0,15.0,30.0,107.69723320158103,168.5699604743083,1.1968379446640316,70.18037154150197,6.901930051647744,1265,1265,105.30843373493975,166.00803212851406,1.2200803212851405,67.43015261044177,6.926826554429992,1245,1245,107.72140077821011,167.64124513618677,1.1463035019455252,65.89707392996112,7.09365464800235,1285,1285,99.62928870292887,159.53640167364017,1.1548117154811715,65.61870292887029,7.07357880624625,1195,1195,101.17163009404389,161.28918495297805,1.1332288401253918,61.31644984326025,7.294328069953938,1276,1276,3.5938942432403564,14.687463521957397,94.02832861256493,1422.6,2,0,Tabu,iteration,1
0,18.0,30.0,15.0,29.0,18.0,30.0,15.0,29.0,106.29594272076372,166.94351630867143,1.192521877486078,68.5431980906921,6.993795872650902,1257,1257,103.99838579499597,164.1452784503632,1.158999192897498,65.46563357546412,7.0216263109807,1239,1239,105.18034055727554,165.5433436532508,1.195046439628483,66.12825077399384,7.0497966516435016,1292,1292,96.99074852817493,156.7031118587048,1.1547518923465097,64.11904962153059,7.098050669664214,1189,1189,98.22056514913658,157.8822605965463,1.1012558869701727,59.784152276295174,7.298012977174796,1274,1274,3.5468435287475586,29.562462091445923,91.3209372092791,1422.6,2,0,Tabu,iteration,2
0,18.0,30.0,15.0,28.0,18.0,30.0,15.0,28.0,103.82845849802372,164.34466403162057,1.1715415019762845,66.88035573122532,6.930688806499839,1265,1265,103.17538213998391,163.97666934835075,1.17940466613033,66.33252614641998,7.025490784054011,1243,1243,105.02797202797203,165.67832167832168,1.1686091686091686,66.4075291375291,6.9931125401226515,1287,1287,94.72278056951424,155.37604690117254,1.185929648241206,64.13512562814063,7.088583470911317,1194,1194,98.71439873417721,158.31962025316454,1.1099683544303798,60.390973101265814,7.228997523852745,1264,1264,3.765575885772705,44.640498638153076,91.00531819164488,1422.6,2,0,Tabu,iteration,3
0,20.0,30.0,15.0,28.0,18.0,30.0,15.0,28.0,103.09296875,163.22265625,1.12578125,64.31934375000004,6.971007003478093,1280,1280,102.28283642224012,162.96937953263497,1.177276390008058,65.69744560838033,6.97709953463124,1241,1241,106.34633385335414,166.64820592823713,1.1583463338533542,66.5310686427458,6.9899135030115165,1282,1282,96.96327212020033,156.96577629382304,1.1035058430717863,63.60198664440736,7.072907600433438,1198,1198,102.21513002364067,161.88652482269504,1.1055949566587864,61.224460204885794,7.201714384017034,1269,1269,3.828341484069824,56.249858140945435,91.91322451433541,1422.6,2,0,Tabu,iteration,4
