,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id
436,6,3,2,1,5,1,1,3,5,1,2,2,4,1,2,1,rrslll_rsssl_rrssl_rrsl
437,6,1,1,4,5,1,1,3,5,3,1,1,5,2,2,1,rssssl_rsssl_rslll_rrsll
438,6,1,1,4,5,2,1,2,5,1,1,3,6,1,2,3,rssssl_rssll_rsssl_rrsssl
439,6,2,2,2,5,1,1,3,5,1,2,2,7,1,2,4,rrssll_rsssl_rrssl_rrssssl
440,6,2,1,3,5,2,2,1,6,1,2,3,3,1,1,1,rsssll_rrsll_rrsssl_rsl
441,6,2,1,3,5,2,2,1,6,1,1,4,4,1,1,2,rsssll_rrsll_rssssl_rssl
442,6,3,2,1,5,1,2,2,6,1,1,4,5,2,2,1,rrslll_rrssl_rssssl_rrsll
443,6,3,2,1,5,3,1,1,6,1,2,3,6,2,1,3,rrslll_rslll_rrsssl_rsssll
444,6,2,1,3,5,3,1,1,6,2,2,2,7,2,2,3,rsssll_rslll_rrssll_rrsssll
445,6,1,2,3,5,1,2,2,7,3,1,3,3,1,1,1,rrsssl_rrssl_rssslll_rsl
446,6,2,2,2,5,1,2,2,7,2,2,3,4,2,1,1,rrssll_rrssl_rrsssll_rsll
447,6,1,1,4,5,1,2,2,7,2,1,4,5,2,2,1,rssssl_rrssl_rssssll_rrsll
448,6,3,1,2,5,3,1,1,7,3,1,3,6,3,1,2,rsslll_rslll_rssslll_rsslll
449,6,1,1,4,5,2,2,1,7,1,1,5,7,3,1,3,rssssl_rrsll_rsssssl_rssslll
450,6,1,2,3,6,3,2,1,3,1,1,1,3,1,1,1,rrsssl_rrslll_rsl_rsl
451,6,1,2,3,6,3,2,1,3,1,1,1,4,2,1,1,rrsssl_rrslll_rsl_rsll
452,6,2,2,2,6,2,2,2,3,1,1,1,5,1,2,2,rrssll_rrssll_rsl_rrssl
453,6,2,1,3,6,3,1,2,3,1,1,1,6,2,2,2,rsssll_rsslll_rsl_rrssll
454,6,3,2,1,6,2,2,2,3,1,1,1,7,3,2,2,rrslll_rrssll_rsl_rrsslll
455,6,1,2,3,6,1,2,3,4,1,1,2,3,1,1,1,rrsssl_rrsssl_rssl_rsl
456,6,3,1,2,6,2,2,2,4,2,1,1,4,1,1,2,rsslll_rrssll_rsll_rssl
457,6,2,1,3,6,3,2,1,4,1,2,1,5,3,1,1,rsssll_rrslll_rrsl_rslll
458,6,3,2,1,6,3,1,2,4,1,2,1,6,2,2,2,rrslll_rsslll_rrsl_rrssll
459,6,3,2,1,6,1,1,4,4,2,1,1,7,2,2,3,rrslll_rssssl_rsll_rrsssll
460,6,3,2,1,6,3,1,2,5,2,2,1,3,1,1,1,rrslll_rsslll_rrsll_rsl
461,6,1,1,4,6,2,2,2,5,2,2,1,4,1,2,1,rssssl_rrssll_rrsll_rrsl
462,6,1,2,3,6,3,2,1,5,2,2,1,5,1,1,3,rrsssl_rrslll_rrsll_rsssl
463,6,2,1,3,6,2,1,3,5,1,2,2,6,1,1,4,rsssll_rsssll_rrssl_rssssl
464,6,2,1,3,6,1,1,4,5,1,2,2,7,2,1,4,rsssll_rssssl_rrssl_rssssll
465,6,3,2,1,6,3,1,2,6,3,1,2,3,1,1,1,rrslll_rsslll_rsslll_rsl
466,6,3,2,1,6,2,2,2,6,3,2,1,4,1,2,1,rrslll_rrssll_rrslll_rrsl
467,6,3,1,2,6,1,1,4,6,3,2,1,5,2,1,2,rsslll_rssssl_rrslll_rssll
468,6,3,1,2,6,1,1,4,6,2,1,3,6,1,1,4,rsslll_rssssl_rsssll_rssssl
469,6,3,1,2,6,2,1,3,6,1,2,3,7,3,1,3,rsslll_rsssll_rrsssl_rssslll
470,6,1,2,3,6,2,1,3,7,2,2,3,3,1,1,1,rrsssl_rsssll_rrsssll_rsl
471,6,3,1,2,6,3,1,2,7,3,2,2,4,1,2,1,rsslll_rsslll_rrsslll_rrsl
472,6,1,2,3,6,2,2,2,7,3,2,2,5,3,1,1,rrsssl_rrssll_rrsslll_rslll
473,6,3,2,1,6,2,2,2,7,1,1,5,6,1,1,4,rrslll_rrssll_rsssssl_rssssl
474,6,3,1,2,6,1,2,3,7,3,1,3,7,2,1,4,rsslll_rrsssl_rssslll_rssssll
475,6,2,1,3,7,3,2,2,3,1,1,1,3,1,1,1,rsssll_rrsslll_rsl_rsl
476,6,2,1,3,7,3,1,3,3,1,1,1,4,1,1,2,rsssll_rssslll_rsl_rssl
477,6,2,2,2,7,1,1,5,3,1,1,1,5,3,1,1,rrssll_rsssssl_rsl_rslll
478,6,1,1,4,7,2,2,3,3,1,1,1,6,2,1,3,rssssl_rrsssll_rsl_rsssll
479,6,1,2,3,7,1,1,5,3,1,1,1,7,2,1,4,rrsssl_rsssssl_rsl_rssssll
480,6,2,1,3,7,1,1,5,4,2,1,1,3,1,1,1,rsssll_rsssssl_rsll_rsl
481,6,1,2,3,7,1,1,5,4,1,1,2,4,1,1,2,rrsssl_rsssssl_rssl_rssl
482,6,2,2,2,7,2,1,4,4,2,1,1,5,2,2,1,rrssll_rssssll_rsll_rrsll
483,6,1,1,4,7,2,2,3,4,1,1,2,6,2,1,3,rssssl_rrsssll_rssl_rsssll
484,6,1,2,3,7,1,2,4,4,1,1,2,7,1,2,4,rrsssl_rrssssl_rssl_rrssssl
485,6,1,1,4,7,3,2,2,5,1,1,3,3,1,1,1,rssssl_rrsslll_rsssl_rsl
486,6,3,2,1,7,1,2,4,5,1,1,3,4,2,1,1,rrslll_rrssssl_rsssl_rsll
487,6,3,2,1,7,1,1,5,5,3,1,1,5,2,2,1,rrslll_rsssssl_rslll_rrsll
488,6,2,1,3,7,1,1,5,5,2,1,2,6,1,2,3,rsssll_rsssssl_rssll_rrsssl
489,6,2,1,3,7,1,1,5,5,2,2,1,7,2,1,4,rsssll_rsssssl_rrsll_rssssll
490,6,3,1,2,7,1,2,4,6,3,2,1,3,1,1,1,rsslll_rrssssl_rrslll_rsl
491,6,3,2,1,7,2,2,3,6,3,2,1,4,1,2,1,rrslll_rrsssll_rrslll_rrsl
492,6,2,2,2,7,2,1,4,6,1,2,3,5,2,2,1,rrssll_rssssll_rrsssl_rrsll
493,6,2,2,2,7,1,1,5,6,3,2,1,6,2,1,3,rrssll_rsssssl_rrslll_rsssll
494,6,1,1,4,7,2,2,3,6,1,2,3,7,3,1,3,rssssl_rrsssll_rrsssl_rssslll
495,6,3,1,2,7,3,2,2,7,1,1,5,3,1,1,1,rsslll_rrsslll_rsssssl_rsl
496,6,2,1,3,7,3,2,2,7,3,1,3,4,1,2,1,rsssll_rrsslll_rssslll_rrsl
497,6,3,1,2,7,3,2,2,7,3,1,3,5,1,1,3,rsslll_rrsslll_rssslll_rsssl
498,6,2,1,3,7,1,2,4,7,1,1,5,6,2,1,3,rsssll_rrssssl_rsssssl_rsssll
499,6,3,1,2,7,2,1,4,7,1,2,4,7,1,1,5,rsslll_rssssll_rrssssl_rsssssl
500,7,3,1,3,3,1,1,1,3,1,1,1,3,1,1,1,rssslll_rsl_rsl_rsl
501,7,3,2,2,3,1,1,1,3,1,1,1,4,2,1,1,rrsslll_rsl_rsl_rsll
502,7,2,2,3,3,1,1,1,3,1,1,1,5,2,2,1,rrsssll_rsl_rsl_rrsll
503,7,2,1,4,3,1,1,1,3,1,1,1,6,3,1,2,rssssll_rsl_rsl_rsslll
504,7,2,2,3,3,1,1,1,3,1,1,1,7,2,1,4,rrsssll_rsl_rsl_rssssll
505,7,3,2,2,3,1,1,1,4,1,1,2,3,1,1,1,rrsslll_rsl_rssl_rsl
506,7,3,2,2,3,1,1,1,4,1,1,2,4,2,1,1,rrsslll_rsl_rssl_rsll
507,7,2,2,3,3,1,1,1,4,2,1,1,5,1,2,2,rrsssll_rsl_rsll_rrssl
508,7,1,1,5,3,1,1,1,4,1,1,2,6,1,2,3,rsssssl_rsl_rssl_rrsssl
509,7,3,2,2,3,1,1,1,4,1,2,1,7,2,2,3,rrsslll_rsl_rrsl_rrsssll
510,7,3,1,3,3,1,1,1,5,3,1,1,3,1,1,1,rssslll_rsl_rslll_rsl
511,7,1,1,5,3,1,1,1,5,2,1,2,4,1,2,1,rsssssl_rsl_rssll_rrsl
512,7,1,2,4,3,1,1,1,5,2,2,1,5,2,1,2,rrssssl_rsl_rrsll_rssll
513,7,2,2,3,3,1,1,1,5,2,1,2,6,3,2,1,rrsssll_rsl_rssll_rrslll
514,7,2,2,3,3,1,1,1,5,1,2,2,7,3,1,3,rrsssll_rsl_rrssl_rssslll
515,7,1,2,4,3,1,1,1,6,3,1,2,3,1,1,1,rrssssl_rsl_rsslll_rsl
516,7,3,2,2,3,1,1,1,6,3,2,1,4,1,2,1,rrsslll_rsl_rrslll_rrsl
517,7,1,1,5,3,1,1,1,6,3,2,1,5,1,1,3,rsssssl_rsl_rrslll_rsssl
518,7,3,2,2,3,1,1,1,6,2,2,2,6,2,2,2,rrsslll_rsl_rrssll_rrssll
519,7,1,1,5,3,1,1,1,6,3,2,1,7,2,1,4,rsssssl_rsl_rrslll_rssssll
520,7,1,1,5,3,1,1,1,7,3,2,2,3,1,1,1,rsssssl_rsl_rrsslll_rsl
521,7,3,2,2,3,1,1,1,7,2,2,3,4,1,1,2,rrsslll_rsl_rrsssll_rssl
522,7,3,2,2,3,1,1,1,7,3,2,2,5,2,1,2,rrsslll_rsl_rrsslll_rssll
523,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll
524,7,2,1,4,3,1,1,1,7,1,1,5,7,1,1,5,rssssll_rsl_rsssssl_rsssssl
525,7,1,2,4,4,1,1,2,3,1,1,1,3,1,1,1,rrssssl_rssl_rsl_rsl
526,7,2,1,4,4,1,1,2,3,1,1,1,4,2,1,1,rssssll_rssl_rsl_rsll
527,7,2,1,4,4,1,1,2,3,1,1,1,5,1,1,3,rssssll_rssl_rsl_rsssl
528,7,2,2,3,4,2,1,1,3,1,1,1,6,3,2,1,rrsssll_rsll_rsl_rrslll
529,7,1,2,4,4,2,1,1,3,1,1,1,7,3,2,2,rrssssl_rsll_rsl_rrsslll
530,7,2,1,4,4,2,1,1,4,1,1,2,3,1,1,1,rssssll_rsll_rssl_rsl
531,7,1,1,5,4,1,2,1,4,1,2,1,4,2,1,1,rsssssl_rrsl_rrsl_rsll
532,7,1,2,4,4,1,1,2,4,2,1,1,5,1,2,2,rrssssl_rssl_rsll_rrssl
533,7,2,2,3,4,1,2,1,4,1,2,1,6,2,2,2,rrsssll_rrsl_rrsl_rrssll
534,7,3,2,2,4,2,1,1,4,1,2,1,7,1,2,4,rrsslll_rsll_rrsl_rrssssl
535,7,2,2,3,4,1,1,2,5,1,2,2,3,1,1,1,rrsssll_rssl_rrssl_rsl
536,7,2,2,3,4,1,1,2,5,3,1,1,4,2,1,1,rrsssll_rssl_rslll_rsll
537,7,3,2,2,4,1,2,1,5,1,1,3,5,1,2,2,rrsslll_rrsl_rsssl_rrssl
