,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,42.0,42.0,42.0,42.0,81.86051282051282,140.0553846153846,0.9651282051282051,84.50956923076923,6.340580071237937,84.74245472837022,143.25653923541248,0.96579476861167,87.46383299798781,6.275767641126769,85.84031158714703,144.8539435248296,1.005842259006816,88.96145082765332,6.218947966217724,74.11375947995667,132.35211267605635,0.9859154929577465,82.65359696641373,6.386222139366981,74.52422480620154,132.2703488372093,0.9476744186046512,81.83971899224815,6.384014158360316,3.5370700359344482,80.21625268443765
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,43.0,42.0,42.0,41.0,79.85450819672131,138.09938524590163,0.9200819672131147,83.08307377049191,6.403263112267234,84.00403632694248,142.07669021190716,0.958627648839556,86.31747729566096,6.326199260147934,84.8256611165524,143.69343780607247,0.9862879529872673,86.31344760039187,6.273388632697696,77.39824945295405,135.19584245076587,0.9989059080962801,84.89152078774627,6.2714746624244135,72.08502415458938,129.63091787439615,0.9342995169082126,79.76482125603864,6.420430027621425,3.416050434112549,79.63349584955192
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,42.0,43.0,42.0,41.0,79.97641025641026,138.06358974358974,0.9456410256410256,83.12438974358979,6.3675419642131175,81.23947895791584,139.2374749498998,0.966933867735471,85.00219438877762,6.329952849925629,81.08341416100873,139.28225024248303,0.9553831231813773,84.78429679922405,6.2759656641438815,73.40584415584415,130.62662337662337,0.9274891774891775,81.79962121212114,6.356205976019384,70.86183574879227,129.06376811594203,0.9555555555555556,79.8655169082127,6.404390923002506,3.684922218322754,77.31339665599424
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,42.0,42.0,41.0,43.0,81.75231243576567,140.04008221993834,0.9527235354573484,84.88441932168543,6.3203962441407935,83.48196392785572,141.79559118236472,0.966933867735471,85.61595190380763,6.337651501076131,84.97383720930233,143.34399224806202,0.9709302325581395,86.4193313953489,6.273884499323061,74.01085776330076,132.50162866449512,0.9641693811074918,82.69376764386527,6.390069838079144,74.62015503875969,132.27131782945736,0.9515503875968992,81.7553488372093,6.396214593362488,3.8154492378234863,79.76782527499684
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,45.0,45.0,39.0,39.0,73.90761421319797,131.94010152284264,0.917766497461929,80.47729949238575,6.424735313358753,76.33866133866134,134.32767232767233,0.922077922077922,83.23828171828166,6.30037823590628,77.36943907156673,135.78626692456479,0.9555125725338491,84.52762088974863,6.257460557447564,69.88424437299035,127.09753483386923,0.9217577706323687,79.87084673097526,6.325460544157664,66.93792434529583,124.53346265761397,0.9398642095053347,77.26794374393792,6.4038637620775845,3.7027485370635986,72.88757666834243
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,46.0,45.0,39.0,38.0,75.04098360655738,132.91905737704917,0.9385245901639344,81.2002663934427,6.394325899587071,78.40380761523046,136.56513026052104,0.9709418837675351,85.64578156312633,6.25304673026861,79.9093567251462,138.70955165692007,0.9785575048732943,86.80453216374264,6.16274261443737,70.75402792696026,127.83995703544576,0.924812030075188,80.20948442534903,6.32758547003214,65.67214700193423,122.91392649903288,0.9158607350096711,75.82907156673129,6.405041125031457,3.4690613746643066,73.95606457516571
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,45.0,46.0,39.0,38.0,73.75279755849441,131.66836215666328,0.9348931841302136,80.2847202441505,6.419254514870991,75.2211155378486,133.08764940239044,0.9292828685258964,82.51573705179281,6.300171160762552,74.29206963249517,132.6605415860735,0.9487427466150871,83.4041295938103,6.214156603230623,68.31283710895362,125.35275080906149,0.912621359223301,78.64290183387264,6.3503731281960585,64.99711538461538,122.02403846153847,0.9115384615384615,75.03228846153844,6.4220634341450085,3.4527578353881836,71.31518704448143
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,45.0,45.0,40.0,38.0,75.23727087576374,133.10285132382893,0.939918533604888,81.58492871690427,6.373535040733048,76.93554884189325,135.02114803625378,0.9425981873111783,83.95930513595162,6.261374651376907,78.35408560311284,136.8453307392996,0.9426070038910506,85.32894941634233,6.221745456400578,70.3603896103896,127.56385281385282,0.9437229437229437,80.3427705627705,6.3307227722696515,67.08494208494209,124.42664092664093,0.9324324324324325,76.84929536679545,6.401985998175815,3.5625736713409424,73.5944474032203
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,44.0,46.0,37.0,41.0,72.36215666327568,130.08138351983723,0.9186164801627671,79.73313326551379,6.434689270392391,74.50992063492063,132.27083333333334,0.9275793650793651,81.68833333333333,6.327355128750951,74.49087415946205,132.69356388088377,0.9510086455331412,83.14817483189243,6.279787078624577,68.47486631016042,125.8042780748663,0.946524064171123,78.91506951871658,6.3654585413802005,63.61201143946616,121.07244995233556,0.9180171591992373,74.35610104861775,6.470211774470895,3.6783127784729004,70.689965841457
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,45.0,46.0,37.0,40.0,73.39918946301925,131.03850050658562,0.9138804457953394,79.58862208713276,6.458491293656244,74.80673934588701,132.62438057482657,0.929633300297324,81.95442021803773,6.331163698456675,73.64893617021276,132.284332688588,0.9497098646034816,83.04131528046432,6.23838161408437,67.96791443850267,125.27914438502674,0.9176470588235294,78.28361497326202,6.368157581353426,63.6956937799043,120.45358851674641,0.8937799043062201,73.64319617224893,6.465090211266274,3.6970713138580322,70.70369463950522
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,44.0,47.0,37.0,40.0,71.80040733197556,129.73625254582484,0.8991853360488798,79.76664969450098,6.421945334031804,71.45499505440158,129.108803165183,0.9119683481701286,80.07368941641938,6.339643894280474,72.04410354745926,130.03739213806327,0.9328859060402684,81.51186001917542,6.2708877524542155,65.22945570971184,121.99252934898612,0.9156883671291356,75.83760939167549,6.404670923096348,63.654545454545456,120.47464114832536,0.9004784688995215,73.72229665071771,6.466350407755109,3.5619759559631348,68.83670141961875
