,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,42.0,42.0,42.0,42.0,127.57303370786516,189.82724719101122,1.1924157303370786,112.27168539325827,5.275333170000766,127.11072179397337,188.7428170988087,1.1758934828311143,106.01341275402946,5.4727150140925085,122.72759103641457,184.8998599439776,1.2303921568627452,106.07265406162468,5.444246188201594,129.44827586206895,192.16360968451943,1.239178283198826,116.31683785766681,5.11168086690902,136.93989862418536,199.30485155684286,1.2251991310644461,114.93687183200583,5.124806325266157,4.484335660934448,128.7599042049015
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,43.0,42.0,42.0,41.0,131.13900709219857,194.10638297872342,1.2609929078014184,116.82673758865243,5.1148198854055185,128.31482782853126,189.7413914265636,1.1735769501054112,106.95650737877726,5.489412664430324,129.28350877192983,191.75438596491227,1.2259649122807017,112.44914385964927,5.217515178728714,134.2044117647059,197.47794117647058,1.3602941176470589,121.45636029411752,4.931766726609172,140.46559297218155,202.93265007320645,1.2628111273792093,117.12563689604674,5.166760439713714,4.37634801864624,132.68146968590943
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,42.0,43.0,42.0,41.0,126.93305144467935,189.6293164200141,1.288231148696265,113.42733615221984,5.211887915611515,125.95679442508711,187.6815331010453,1.1303135888501743,105.33850174216028,5.500137329904494,128.64245810055866,191.01117318435755,1.2569832402234637,112.04646648044694,5.198317833732364,129.5180014695077,192.9338721528288,1.3240264511388684,118.42230712711257,5.054225945664961,139.2456647398844,201.98410404624278,1.2969653179190752,117.01248554913299,5.134867304939761,4.264567852020264,130.05919403594345
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,42.0,42.0,41.0,43.0,124.33356790992259,187.0752990851513,1.2913441238564392,111.35371569317397,5.2827432518093405,125.31630510846746,186.1259622113366,1.1112666200139958,103.14769769069284,5.600970885896039,123.2050209205021,185.13807531380752,1.2085076708507672,105.2224895397488,5.477084242324513,129.43529411764706,192.44485294117646,1.2875,116.26179411764711,5.07694795518875,129.94816414686824,191.9136069114471,1.1922246220302375,108.23046796256311,5.402836318454322,4.23408055305481,126.44767044068149
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,39.0,39.0,39.0,51.0,130.72325249643367,193.2888730385164,1.2524964336661912,113.61276034236815,5.529796420461751,128.14762242725337,189.56352022711144,1.1951738821859474,105.05704755145508,5.708861763719845,126.80028129395218,188.6054852320675,1.2144866385372715,105.53665963431779,5.69075835370545,129.0407709414381,191.77983691623425,1.301704966641957,114.43289103039295,5.298545047264183,131.89224137931035,193.3505747126437,1.1666666666666667,106.61421695402296,5.669729037488689,4.328391790390015,129.32083370767754
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,40.0,39.0,39.0,50.0,132.189556509299,194.7725321888412,1.2267525035765379,114.50866952789706,5.4637538033213415,129.517338995046,191.07714083510263,1.2427459306440198,105.4204317055909,5.6785612657110835,125.94432699083862,187.49048625792813,1.1874559548978154,105.72251585623678,5.644328099116594,129.91943828529193,192.4050258684405,1.2838137472283815,114.1843754619363,5.243093375999732,130.70617816091954,191.72629310344828,1.1400862068965518,105.1911781609194,5.678250333123528,4.2339441776275635,129.655367788279
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,39.0,40.0,39.0,50.0,126.8322672352523,189.63326226012794,1.2416488983653162,111.94077469793889,5.449209450153834,128.09684210526316,189.16912280701754,1.1487719298245613,103.70206315789486,5.702182908110087,124.6958041958042,186.35384615384615,1.1755244755244756,104.97752447552432,5.636379882594847,124.2505510653931,186.04922850844966,1.18295371050698,108.84155767817782,5.412177874399491,129.07091690544414,190.68839541547277,1.2084527220630372,105.29984957020055,5.665409858964811,4.093746185302734,126.5892763014314
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,39.0,39.0,40.0,50.0,133.8643216080402,196.816223977028,1.239770279971285,115.44882986360378,5.466771006033754,130.42370475514548,191.88147622427255,1.1973030518097942,106.90061745919108,5.6159588216805725,128.10352112676057,189.74295774647888,1.1788732394366197,105.77679577464785,5.6682376697822745,130.0562962962963,191.98592592592593,1.2385185185185186,113.35528148148148,5.28465684651621,131.9345323741007,193.6589928057554,1.2237410071942445,106.63138129496386,5.649972825600587,4.484472751617432,130.87647523206866
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,38.0,40.0,38.0,52.0,127.5469964664311,190.1279151943463,1.2770318021201414,111.09469257950525,5.5206964124794915,128.8011243851019,189.7758257203092,1.134926212227688,104.18906535488418,5.684991471100493,125.42348008385744,186.6470999301188,1.1544374563242488,103.77928721174,5.674155911731185,125.88179148311306,187.7503671071953,1.196035242290749,109.99470631424374,5.384507501251022,127.39176721078779,188.58694109297375,1.1525904897090136,102.95179559971615,5.739582536859117,4.296788454055786,127.00903192585824
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,39.0,40.0,38.0,51.0,128.1009239516702,190.87633262260127,1.251599147121535,112.5773702914002,5.48443397789252,128.07524613220815,189.28340365682138,1.1729957805907174,105.17274261603373,5.610483989832781,123.3944055944056,185.03916083916084,1.137062937062937,104.65637062937066,5.614230175620889,124.56020558002938,186.3627019089574,1.1644640234948604,109.08629955947144,5.4136979529025515,127.19543509272468,188.4243937232525,1.1918687589158345,103.32435805991453,5.715676028316337,4.125065326690674,126.2652432702076
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,38.0,41.0,38.0,51.0,126.97169143665958,189.2059447983015,1.208067940552017,110.05345364472741,5.517953734446219,125.20028011204482,186.0252100840336,1.1540616246498598,102.33733893557402,5.738923586667184,123.97421602787456,185.47665505226482,1.1679442508710802,103.52149825783967,5.665369735099064,121.82846715328468,183.96496350364964,1.186131386861314,108.3426569343068,5.4176349535524775,126.79432624113475,188.12198581560284,1.1361702127659574,102.95151063829796,5.664866666241736,4.297234058380127,124.95379619419968
