,real_0,real_1,real_2,real_3,best_real_0,best_real_1,best_real_2,best_real_3,wait0,travel0,stop0,timeloss0,speed0,throughput0,to_be_throughput0,wait1,travel1,stop1,timeloss1,speed1,throughput1,to_be_throughput1,wait2,travel2,stop2,timeloss2,speed2,throughput2,to_be_throughput2,wait3,travel3,stop3,timeloss3,speed3,throughput3,to_be_throughput3,wait4,travel4,stop4,timeloss4,speed4,throughput4,to_be_throughput4,time,iteration_time,performance measure,veh_generated,scenario,phaseSeq,algorithm,iteration_type,step
0,42.0,42.0,42.0,42,42.0,42.0,42.0,42.0,81.86051282051282,140.0553846153846,0.9651282051282051,84.50956923076923,6.340580071237937,975,975,84.74245472837022,143.25653923541248,0.96579476861167,87.46383299798781,6.275767641126769,994,994,85.84031158714703,144.8539435248296,1.005842259006816,88.96145082765332,6.218947966217724,1027,1027,74.11375947995667,132.35211267605635,0.9859154929577465,82.65359696641373,6.386222139366981,923,923,74.52422480620154,132.2703488372093,0.9476744186046512,81.83971899224815,6.384014158360316,1032,1032,3.6446690559387207,0.0,80.21625268443765,1016.8,1,0,Tabu,iteration,0
0,40.0,44.0,42.0,42,40.0,44.0,42.0,42.0,78.60162601626017,136.71036585365854,0.9349593495934959,82.87057926829257,6.323968449112473,984,984,78.34760956175299,136.52888446215138,0.9591633466135459,84.09210159362547,6.314369152217705,1004,1004,77.0019305019305,135.08783783783784,0.946911196911197,83.60636100386095,6.289655851873471,1036,1036,70.36774193548388,127.53763440860214,0.9344086021505377,80.07363440860229,6.348241572814317,930,930,68.33204259438529,125.76863504356244,0.9225556631171346,77.82403678606002,6.427720298543446,1033,1033,3.5807201862335205,10.828898191452026,74.53019012196255,1016.8,1,0,Tabu,iteration,1
0,39.0,44.0,43.0,42,40.0,44.0,42.0,42.0,78.1383519837233,136.17497456765005,0.9399796541200407,82.90592065106807,6.346622104901248,983,983,80.7125748502994,138.77844311377245,0.9471057884231537,84.94968063872243,6.288932080243233,1002,1002,76.60366441658631,134.74831243973,0.9431051108968177,83.2816393442624,6.316171126912224,1037,1037,71.99352750809061,129.29881337648328,0.9352750809061489,81.48981661272934,6.313325011302337,927,927,71.35418671799808,129.22521655437922,0.9595765158806545,80.57527430221363,6.343782809876079,1039,1039,3.7094814777374268,21.755297899246216,75.76046109533954,1016.8,1,0,Tabu,iteration,2
0,38.0,44.0,44.0,42,40.0,44.0,42.0,42.0,78.14604462474645,136.28093306288034,0.9381338742393509,83.00864097363088,6.313038043609346,986,986,79.46246246246247,137.83183183183183,0.984984984984985,85.0256256256257,6.299485658730752,999,999,77.76550387596899,136.22383720930233,0.9515503875968992,84.58279069767447,6.273973633719687,1032,1032,71.53887688984881,128.87473002159828,0.9254859611231101,80.85006479481633,6.359903303116172,926,926,68.66251198465963,125.84180249280921,0.9386385426653883,77.46863854266532,6.433165037556415,1043,1043,3.5562806129455566,28.820308923721313,75.11507996753728,1016.8,1,0,Tabu,iteration,3
0,38.0,46.0,42.0,42,38.0,46.0,42.0,42.0,75.45005045408678,133.46014127144298,0.9475277497477296,82.52488395560046,6.3056499554888,991,991,75.23015873015873,133.03373015873015,0.9484126984126984,83.09890873015868,6.261034040544364,1008,1008,72.97598463016331,131.0326609029779,0.9394812680115274,81.9467915465898,6.312592243796555,1041,1041,65.96133190118152,123.07303974221267,0.9151450053705693,76.73664876476893,6.4293263847479345,931,931,65.2614503816794,122.37118320610686,0.9379770992366412,75.15641221374045,6.446396139143663,1048,1048,3.1795990467071533,38.32070302963257,70.97579521945394,1016.8,1,0,Tabu,iteration,4
0,36.0,48.0,42.0,42,36.0,48.0,42.0,42.0,70.854,128.506,0.925,79.63672000000001,6.3783949616166105,1000,1000,72.1404549950544,130.53214638971315,0.9970326409495549,82.29907022749754,6.261188927403331,1011,1011,68.27831094049904,125.82341650671785,0.9136276391554703,78.31633397312856,6.352904903679123,1042,1042,62.458686440677965,119.0582627118644,0.9046610169491526,73.33141949152535,6.452284804526225,944,944,61.23696682464455,117.91563981042654,0.8947867298578199,71.74799999999995,6.4812734909749885,1055,1055,3.2417068481445312,51.117964029312134,66.99368384017518,1016.8,1,0,Tabu,iteration,5
0,36.0,48.0,43.0,41,36.0,48.0,42.0,42.0,70.59478435305918,128.49949849548645,0.8996990972918756,79.57360080240724,6.400363139785603,997,997,72.77679449360865,130.78367748279254,0.9321533923303835,82.17039331366759,6.2594350480809515,1017,1017,70.7621776504298,128.5453677172875,0.9398280802292264,80.95688634192923,6.248250342080278,1047,1047,62.75847457627118,119.41525423728814,0.9046610169491526,73.68363347457635,6.434339600454064,944,944,61.49952606635071,118.1345971563981,0.8985781990521327,71.90692890995251,6.464439048375986,1055,1055,3.1495201587677,60.332969427108765,67.67835142794391,1016.8,1,0,Tabu,iteration,6
0,38.0,48.0,43.0,39,36.0,48.0,42.0,42.0,70.63417085427136,128.13366834170856,0.9015075376884422,79.18959798994965,6.3765457087135085,995,995,70.75272007912957,128.33333333333334,0.9228486646884273,80.27363006923834,6.266132170212479,1011,1011,70.26673040152964,128.13288718929255,0.9359464627151052,80.3949713193117,6.261404756150512,1046,1046,62.10191082802548,118.4140127388535,0.8842887473460722,72.7488322717622,6.434532086695651,942,942,62.29971455756422,119.07992388201713,0.8877259752616555,72.88907706945767,6.423774298983252,1051,1051,3.1570138931274414,72.89384317398071,67.21104934410405,1016.8,1,0,Tabu,iteration,7
0,38.0,48.0,44.0,38,36.0,48.0,42.0,42.0,70.21507537688443,127.67437185929649,0.8914572864321608,78.90084422110542,6.381452035272304,995,995,70.05059523809524,127.62599206349206,0.9107142857142857,80.03526785714281,6.270907742789846,1008,1008,70.25119846596357,128.09300095877276,0.9328859060402684,80.4920901246405,6.245144620461578,1043,1043,62.92446808510638,119.49361702127659,0.8914893617021277,73.81495744680852,6.406936825551808,940,940,63.50095602294455,120.37189292543022,0.9110898661567878,74.01282982791571,6.386820445681964,1046,1046,3.0929219722747803,79.16820764541626,67.38845863779883,1016.8,1,0,Tabu,iteration,8
0,38.0,49.0,44.0,37,38.0,49.0,44.0,37.0,67.08208208208208,124.42742742742743,0.8938938938938938,77.24295295295296,6.365423631016239,999,999,69.30646766169154,126.52039800995024,0.9104477611940298,79.23525373134325,6.269164827607215,1005,1005,69.69104908565929,127.43792107795957,0.9384023099133783,80.17197305101058,6.218999876381956,1039,1039,60.69883351007423,116.79851537645811,0.8663838812301167,71.18044538706262,6.446571476792825,943,943,62.43511450381679,119.45992366412214,0.8998091603053435,73.35645992366418,6.386223263991049,1048,1048,3.1043102741241455,91.76434540748596,65.8427093686648,1016.8,1,0,Tabu,iteration,9
