id,wait,travel,timeloss,stop,speed,iteration_time
rrsll_rssl_rsssll_rsl,17.739407224729653,70.5963757236481,25.75153285534097,0.7657737042996595,8.900059839295935,615.9236631250382
rrslll_rssll_rsl_rssssll,16.724442353594497,69.48215244077024,24.67491792235559,0.762984596232948,8.973803134706914,738.1198884057999
rrssl_rrssl_rrsslll_rrsslll,15.474209644034756,67.67442574462306,23.136721814116694,0.7399746394492623,9.154963843128336,792.6120621347427
rrsslll_rrsll_rsssl_rrsslll,15.993420247092882,68.47379946292583,23.85312104474354,0.7566142159626688,9.076059053427095,865.2787485647201
rrsssll_rsl_rsl_rrsll,17.311190559346887,70.09264412716654,25.339839719580496,0.7566591033561408,8.956168208149986,666.0794264936447
rsl_rrsl_rssslll_rssssl,16.40522979610785,69.21046038142629,24.39297370955758,0.7686539061961477,9.026805206856297,741.6675521421432
rsl_rrsll_rsl_rslll,17.82447672081805,70.86137499561069,25.940818515136087,0.7603855322557158,8.88560559753449,605.6138478040696
rsl_rsl_rsl_rrssll,18.566516645417813,71.59359418838669,26.672630283252428,0.7580881699756148,8.836653255661933,591.9771526145935
rsl_rsl_rsl_rrssssl,17.780167560329716,70.77599571419593,25.945657044614855,0.7643810520626951,8.911766753192872,615.7257858896255
rsl_rsl_rsssl_rsl,18.786408743797903,72.0308358796449,27.052398920713532,0.7783641392927515,8.779387855622305,606.1535198163987
rsl_rsssl_rssssl_rssll,16.79736528945326,69.72374186282674,24.846234332459797,0.7787201260901628,8.968795649950556,719.2777080345154
rsl_rsssll_rrssl_rrsslll,16.591454602856537,69.19867305596136,24.50673246302749,0.7623540792156653,8.996696422622753,752.2953060770035
rsl_rssslll_rrsssl_rsslll,17.20847900164202,70.00838767595755,25.27068723205374,0.7799767209839851,8.946640469349623,728.4252806234359
rsl_rsssssl_rsll_rrssl,17.58147195148498,70.40243451917266,25.582574069729198,0.7626862139585978,8.93741921925302,645.8575148630142
rsll_rsl_rssslll_rrsssll,17.411504943110014,70.32161581344067,25.53832663965966,0.7797770366947183,8.878989665795382,748.1505067014695
rslll_rsl_rrslll_rsl,19.128662295931694,72.34715020998316,27.432460563274066,0.7759757311226086,8.750577108011742,636.3996280670166
rssl_rrsslll_rsl_rrsll,16.610684466359487,69.26168101474906,24.507975640722353,0.7539488812630148,9.016185568811359,677.4109667396546
rssll_rrsl_rsssl_rrsl,17.149645674784924,69.82216682957241,25.074896921261757,0.7505106999356731,9.002137535995093,660.203237156868
rssll_rrssl_rssslll_rrssll,16.1949993786099,68.7387645735459,24.037573591885153,0.7616575059532953,9.045329702575417,815.2907985544205
rsssl_rrsll_rsl_rsslll,17.630205918976614,70.48952887216018,25.663477371223802,0.7661070579820991,8.908855305678731,635.6020318412781
rsssll_rssl_rsslll_rrsl,15.548035314883027,68.16097722416482,23.408621233160876,0.7679700613628423,9.110114322791787,694.5274071741104
rssslll_rrsssl_rsssssl_rsl,16.428623181384918,69.19884846350907,24.46534913803693,0.780038723680472,9.03853627718284,798.563983259201
rssslll_rssll_rsssl_rrssl,16.04810909303797,68.77332000785725,24.007145401403776,0.7782512620757867,9.039129546426123,838.3549152326584
rsssssl_rsl_rrsslll_rsssll,16.71383875153123,69.46899623432842,24.739104739581393,0.7763241495042391,8.969297168916096,758.3413492441177
rsssssl_rssssll_rsl_rssll,17.220078572613485,70.2046883227536,25.36683369677355,0.7929439265850999,8.886975848405873,787.9343785047531
