id,wait,travel,timeloss,stop,speed,time
rrsll_rssl_rsssll_rsl,113.7765728198624,172.41049148564903,126.44652443221723,1.2188027320069896,6.534293561699017,3.5548100290298463
rrslll_rssll_rsl_rssssll,110.84874934195317,169.3067778239091,123.40225544933467,1.2022164710080498,6.563554587853904,3.8479106149673465
rrssl_rrssl_rrsslll_rrsslll,101.20501284561533,158.50926373352567,112.94774120539958,1.1383004738401972,6.826783374283614,4.200365744590759
rrsslll_rrsll_rsssl_rrsslll,107.89494687007578,165.90363586445247,120.27174450063207,1.1821197727037316,6.696821334804221,4.3527481293678285
rrsssll_rsl_rsl_rrsll,104.65303278730424,162.66675965729831,117.02525381108812,1.1470913581417168,6.765330555549229,3.473024151325226
rsl_rrsl_rssslll_rssssl,120.15779885118305,179.2755869574583,133.39263029093428,1.2764212523289116,6.272668503331898,3.8414531421661375
rsl_rrsll_rsl_rslll,97.09755035251555,154.72343584466321,109.10782458588648,1.0863716008029534,6.866604884961408,3.09399601650238
rsl_rsl_rsl_rrssll,105.94954166942938,164.43649145516025,118.53829155633974,1.1787429884807878,6.591623479161065,3.0761324701309207
rsl_rsl_rsl_rrssssl,115.4504902623222,174.75044130925227,128.63394893189775,1.2507104377265525,6.396469639180189,3.30582647562027
rsl_rsl_rsssl_rsl,111.11840085729638,169.93587072110674,124.07990437554214,1.2051786186825946,6.51344938632447,2.9547518448829653
rsl_rsssl_rssssl_rssll,117.95307943096383,177.0809158843059,130.6693258901347,1.2680428881493278,6.392748904108322,3.672977165222168
rsl_rsssll_rrssl_rrsslll,110.51913024192609,168.90939588420306,123.14207977328417,1.2085761806298565,6.647309790542793,3.955589868545532
rsl_rssslll_rrsssl_rsslll,113.47502015251301,172.17325003484999,126.18828136162477,1.234372532308011,6.6141950852741775,4.122238073825836
rsl_rsssssl_rsll_rrssl,117.84985938697736,177.03970258108987,131.12264962778085,1.2669268631371482,6.278671504486741,3.6648790702819825
rsll_rsl_rssslll_rrsssll,123.77762137753338,183.28577333500488,137.12309368768857,1.2965546004935695,6.2671400982716365,4.1356245303154
rslll_rsl_rrslll_rsl,119.37382210022443,178.61577582714887,132.6078617299637,1.2341345691497643,6.455665684472109,3.4414900879859927
rssl_rrsslll_rsl_rrsll,100.8767957638192,158.5584424803541,113.07259096026681,1.1302383159774525,6.803423936470133,3.5819549489021303
rssll_rrsl_rsssl_rrsl,107.31071783297003,165.48013282917302,119.75867514928503,1.1750312260839513,6.5974884019947275,3.5224650955200194
rssll_rrssl_rssslll_rrssll,118.07999595513733,176.9297221436138,130.77655935942346,1.2745020718072941,6.375492348152594,4.280030854225159
rsssl_rrsll_rsl_rsslll,106.81337911434615,165.01921729006236,119.35605300903475,1.1746368378767902,6.686278176430083,3.6239855999946595
rsssll_rssl_rsslll_rrsl,112.33402222029768,170.52342833297362,124.85314078125171,1.2101582639313784,6.429841034366729,3.7065946264266967
rssslll_rrsssl_rsssssl_rsl,123.14708660051454,182.25156568374862,136.5401866851318,1.2938348329823828,6.276206854902054,4.3464059386253355
rssslll_rssll_rsssl_rrssl,117.47451431692423,176.26102003964598,130.3813591550362,1.2591665139016106,6.3903160063275495,4.140400091171265
rsssssl_rsl_rrsslll_rsssll,114.928717533864,173.4617478369436,127.64199498853343,1.232410642200061,6.509452012463308,4.256201675891877
rsssssl_rssssll_rsl_rssll,122.05930011195898,181.38916463250627,135.38814104778137,1.2913417637180007,6.340279716234175,4.1596357922554015
