,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,p1,p2,p3,p4,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,5,30,30,30,87.1573913,145.4930435,1.366086957,100.7325043,8.041073971,84.49191489,142.6697872,1.394042553,97.79573617,7.729948811,83.4165961,141.4682472,1.348856901,96.64593565,7.954909385,89.48055556,147.9240741,1.438888889,103.1771944,7.788879951,83.75320239,141.587532,1.334756618,96.82672929,8.062532381,4.468734264,85.65993205
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,6,30,30,30,97.68644068,157.7966102,1.502542373,113.0402119,7.916392319,92.82445923,152.4334443,1.481697171,107.5931115,7.584405728,92.95986622,152.6463211,1.462374582,107.7951672,7.703002141,99.40036069,159.5247971,1.557258792,114.7698287,7.640714944,94.98663325,154.7627402,1.479532164,110.0099833,7.82973424,4.281711102,95.57155201
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,7,30,30,30,103.1611018,164.590985,1.597662771,119.8399249,7.6738675,98.46460537,159.1277461,1.506916192,114.2780228,7.509566943,99.57877551,160.6840816,1.546122449,115.8566939,7.612811085,106.4691358,168.1322751,1.610229277,123.3882628,7.553522482,100.0163532,160.8789861,1.531479967,116.1061079,7.657723662,4.406253576,101.5379943
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,8,30,30,30,108.8766556,171.4453642,1.695364238,125.8546937,7.413650746,101.4463415,162.602439,1.551219512,116.7721951,7.508066601,106.1443719,168.0668842,1.641109299,121.5510277,7.467789955,109.5194004,171.6737213,1.650793651,125.5904762,7.578897141,101.6582382,163.0986949,1.603588907,117.8724225,7.538087805,4.468230963,105.5290015
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,9,30,30,30,100.4324324,162.1130221,1.63963964,116.0320229,7.438249492,95.068,156.0688,1.516,109.631576,7.452689925,99.21682848,160.7006472,1.550161812,114.6113916,7.39356696,101.3186908,162.8837209,1.56416882,117.2424978,7.541519907,95.47242206,156.7098321,1.524380496,111.171215,7.521828373,4.312567711,98.30167475
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,10,30,30,30,100.5015773,162.3690852,1.611198738,115.6870032,7.276844804,93.98373354,155.2029435,1.50116189,109.2515259,7.410809274,99.88156863,161.7396078,1.556862745,115.0188157,7.198914888,103.2746071,165.7055418,1.627791563,119.8852605,7.316086686,95.34321373,156.7457098,1.523400936,111.3156786,7.373090471,4.359441042,98.59694006
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,11,30,30,30,103.5373832,166.3862928,1.627725857,119.5282087,7.153880372,95.02997694,156.5380477,1.521137586,110.3518063,7.256790393,103.2486486,165.8841699,1.626254826,118.5439305,7.129505609,103.4131687,165.61893,1.617283951,120.1561152,7.138971031,99.3123561,161.2624712,1.588641596,115.2711051,7.137207873,4.274727583,100.9083067
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,12,30,30,30,104.2649057,167.1418868,1.629433962,120.2510642,7.00234597,94.97307405,156.6469708,1.522064323,110.3422064,7.087535513,100.8463268,163.2713643,1.577961019,116.1492429,7.131976378,100.4984102,162.7829889,1.588235294,117.4929491,6.966704634,98.13487332,159.8226528,1.561847988,114.0640611,6.914037868,4.167744875,99.74351801
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,13,30,30,30,104.4500745,167.4038748,1.613263785,120.6874814,6.884800281,93.56314244,155.1079295,1.511013216,109.0983847,6.986131339,101.8369004,164.2634686,1.609594096,117.0110923,7.032253283,99.47678993,161.6223446,1.56490952,116.3723839,6.848834008,98.06323529,159.8544118,1.532352941,114.1664265,6.855456507,4.167800903,99.47802851
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,14,30,30,30,97.54505814,159.7122093,1.543604651,113.7984666,6.777038861,90.29805616,151.4182865,1.519798416,105.5000288,6.837957466,96.3647482,158.4489209,1.546043165,112.1192878,6.866070044,92.76018447,153.8063028,1.483474251,108.7883244,6.698439649,90.82193732,151.6823362,1.445156695,106.4036396,6.805039467,4.231352568,93.55799686
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,15,30,30,30,97.96336996,160.2285714,1.549450549,114.4756117,6.666234203,85.5884058,145.8478261,1.431884058,100.5942971,6.727070434,97.50109091,159.8334545,1.538181818,113.3082836,6.738004467,91.37162683,152.1256746,1.450269854,107.251542,6.704243415,89.88264939,150.5730742,1.41612671,105.2834701,6.826383926,4.141754389,92.46142858
